"","S","E","Ia","Is","R","ReD","V"
"47.8",2.46303559139147,0,0,5.19383236443662,92.3431320441719,0,0
"47.9",2.4579468149879,0,0,5.14721623928556,92.3948369457265,0,0
"48",2.4529140895463,0,0,5.10100818127488,92.4460777291788,0,0
"48.1",2.44793671570782,0,0,5.05520482593384,92.4968584583583,0,0
"48.2",2.44301400430664,0,0,5.00980283212667,92.5471831635666,0,0
"48.3",2.43814527619622,0,0,4.96479888199324,92.5970558418105,0,0
"48.4",2.43332986207902,0,0,4.9201896808869,92.646480457034,0,0
"48.5",2.42856710233946,0,0,4.87597195730973,92.6954609403507,0,0
"48.6",2.42385634688012,0,0,4.83214246284513,92.7440011902747,0,0
"48.7",2.41919695496117,0,0,4.78869797208798,92.7921050729508,0,0
"48.8",2.4145882950428,0,0,4.74563528257243,92.8397764223847,0,0
"48.9",2.41002974463075,0,0,4.70295121469735,92.8870190406718,0,0
"49",2.40552069012479,0,0,4.66064261164959,92.9338366982255,0,0
"49.1",2.40106052667009,0,0,4.61870633932512,92.9802331340047,0,0
"49.2",2.39664865801142,0,0,4.57713928624813,93.0262120557403,0,0
"49.3",2.3922844963502,0,0,4.53593836348815,93.0717771401616,0,0
"49.4",2.38796746220418,0,0,4.49510050457528,93.1169320332205,0,0
"49.5",2.38369698426982,0,0,4.45462266541367,93.1616803503164,0,0
"49.6",2.37947249928731,0,0,4.4145018241932,93.2060256765194,0,0
"49.7",2.37529345190812,0,0,4.37473498129953,93.2499715667923,0,0
"49.8",2.37115929456502,0,0,4.33531915922256,93.2935215462124,0,0
"49.9",2.36706948734459,0,0,4.29625140246333,93.336679110192,0,0
"50",2.36302349786209,0,0,4.25752877743953,93.3794477246983,0,0
"50.1",2.35902080113872,0,0,4.21914837238957,93.4218308264717,0,0
"50.2",2.35506087948114,0,0,4.18110729727531,93.4638318232435,0,0
"50.3",2.35114322236323,0,0,4.14340268368354,93.5054540939532,0,0
"50.4",2.34726732631011,0,0,4.10603168472627,93.5467009889636,0,0
"50.5",2.34343269478422,0,0,4.06899147493983,93.5875758302759,0,0
"50.6",2.33963883807362,0,0,4.03227925018289,93.6280819117435,0,0
"50.7",2.33588527318227,0,0,3.99589222753344,93.6682224992843,0,0
"50.8",2.33217152372242,0,0,3.95982764518476,93.7080008310928,0,0
"50.9",2.32849711980884,0,0,3.92408276234049,93.7474201178507,0,0
"51",2.32486159795519,0,0,3.88865485910877,93.786483542936,0,0
"51.1",2.32126450097212,0,0,3.8535412363956,93.8251942626323,0,0
"51.2",2.31770537786733,0,0,3.8187392157973,93.8635554063354,0,0
"51.3",2.3141837837474,0,0,3.78424613949233,93.9015700767603,0,0
"51.4",2.3106992797215,0,0,3.75005937013239,93.9392413501461,0,0
"51.5",2.30725143280669,0,0,3.71617629073278,93.9765722764605,0,0
"51.6",2.30383981583513,0,0,3.68259430456225,94.0135658796027,0,0
"51.7",2.30046400736279,0,0,3.6493108350322,94.050225157605,0,0
"51.8",2.29712359157995,0,0,3.61632332558539,94.0865530828347,0,0
"51.9",2.29381815822324,0,0,3.58362923958409,94.1225526021927,0,0
"52",2.29054730248927,0,0,3.55122606019785,94.1582266373129,0,0
"52.1",2.28731062494981,0,0,3.51911129029081,94.1935780847594,0,0
"52.2",2.2841077314685,0,0,3.48728245230855,94.228609816223,0,0
"52.3",2.28093823311907,0,0,3.45573708816474,94.2633246787162,0,0
"52.4",2.27780174610492,0,0,3.42447275912729,94.2977254947678,0,0
"52.5",2.27469789168029,0,0,3.39348704570438,94.3318150626154,0,0
"52.6",2.27162629607266,0,0,3.36277754753008,94.3655961563973,0,0
"52.7",2.26858659040664,0,0,3.33234188324988,94.3990715263435,0,0
"52.8",2.26557841062917,0,0,3.30217769040588,94.432243898965,0,0
"52.9",2.26260139743602,0,0,3.27228262532193,94.4651159772421,0,0
"53",2.25965519619959,0,0,3.24265436298857,94.4976904408119,0,0
"53.1",2.25673945689802,0,0,3.21329059694789,94.5299699461541,0,0
"53.2",2.25385383404547,0,0,3.1841890391782,94.5619571267764,0,0
"53.3",2.25099798662367,0,0,3.1553474199788,94.5936545933976,0,0
"53.4",2.24817157801464,0,0,3.12676348785455,94.6250649341309,0,0
"53.5",2.24537427593459,0,0,3.09843500940056,94.6561907146649,0,0
"53.6",2.24260575236896,0,0,3.07035976918674,94.6870344784443,0,0
"53.7",2.23986568350862,0,0,3.04253556964253,94.7175987468489,0,0
"53.8",2.23715374968708,0,0,3.01496023094158,94.7478860193714,0,0
"53.9",2.2344696353189,0,0,2.98763159088654,94.7778987737946,0,0
"54",2.23181302883908,0,0,2.96054750479391,94.807639466367,0,0
"54.1",2.2291836226435,0,0,2.93370584537905,94.8371105319775,0,0
"54.2",2.22658111303043,0,0,2.90710450264129,94.8663143843283,0,0
"54.3",2.22400520014297,0,0,2.88074138374917,94.8952534161079,0,0
"54.4",2.22145558791251,0,0,2.85461441292589,94.9239299991617,0,0
"54.5",2.21893198400315,0,0,2.8287215313349,94.952346484662,0,0
"54.6",2.21643409975707,0,0,2.80306069696575,94.9805052032772,0,0
"54.7",2.21396165014078,0,0,2.77762988452005,95.0084084653392,0,0
"54.8",2.21151435369237,0,0,2.7524270852978,95.0360585610099,0,0
"54.9",2.20909193246952,0,0,2.72745030708382,95.0634577604467,0,0
"55",2.20669411199851,0,0,2.70269757403457,95.090608313967,0,0
"55.1",2.204320621224,0,0,2.67816692656517,95.1175124522109,0,0
"55.2",2.20197119245973,0,0,2.6538564212367,95.1441723863036,0,0
"55.3",2.19964556133991,0,0,2.62976413064384,95.1705903080163,0,0
"55.4",2.19734346677162,0,0,2.60588814330284,95.1967683899256,0,0
"55.5",2.19506465088778,0,0,2.58222656353974,95.2227087855725,0,0
"55.6",2.19280885900108,0,0,2.55877751137899,95.24841362962,0,0
"55.7",2.19057583955859,0,0,2.53553912243238,95.2738850380091,0,0
"55.8",2.1883653440971,0,0,2.51250954778839,95.2991251081146,0,0
"55.9",2.18617712719927,0,0,2.48968695390182,95.324135918899,0,0
"56",2.18401094645042,0,0,2.46706952248387,95.3489195310658,0,0
"56.1",2.18186656239611,0,0,2.44465545039259,95.3734779872113,0,0
"56.2",2.17974373850036,0,0,2.4224429495237,95.397813311976,0,0
"56.3",2.17764224110455,0,0,2.40043024670188,95.4219275121936,0,0
"56.4",2.17556183938703,0,0,2.37861558357237,95.4458225770406,0,0
"56.5",2.17350230532334,0,0,2.35699721649313,95.4695004781835,0,0
"56.6",2.17146341364713,0,0,2.33557341642734,95.4929631699256,0,0
"56.7",2.16944494181165,0,0,2.31434246883633,95.5162125893521,0,0
"56.8",2.16744666995193,0,0,2.29330267357302,95.5392506564751,0,0
"56.9",2.1654683808475,0,0,2.27245234477575,95.5620792743768,0,0
"57",2.16350985988576,0,0,2.25178981076266,95.5847003293516,0,0
"57.1",2.16157089502595,0,0,2.23131341392638,95.6071156910477,0,0
"57.2",2.1596512767636,0,0,2.2110215106294,95.629327212607,0,0
"57.3",2.1577507980957,0,0,2.19091247109972,95.6513367308046,0,0
"57.4",2.15586925448629,0,0,2.17098467932709,95.6731460661867,0,0
"57.5",2.15400644383265,0,0,2.15123653295975,95.6947570232076,0,0
"57.6",2.15216216643208,0,0,2.13166644320161,95.7161713903664,0,0
"57.7",2.15033622494907,0,0,2.11227283470994,95.737390940341,0,0
"57.8",2.14852842438315,0,0,2.09305414549359,95.7584174301233,0,0
"57.9",2.14673857203714,0,0,2.07400882681171,95.7792526011512,0,0
"58",2.14496647748591,0,0,2.05513534307295,95.7998981794412,0,0
"58.1",2.14321195254568,0,0,2.03643217173519,95.8203558757192,0,0
"58.2",2.14147481124374,0,0,2.01789780320585,95.8406273855504,0,0
"58.3",2.13975486978872,0,0,1.9995307407426,95.8607143894687,0,0
"58.4",2.13805194654122,0,0,1.9813295003547,95.8806185531041,0,0
"58.5",2.13636586198501,0,0,1.96329261070485,95.9003415273102,0,0
"58.6",2.13469643869857,0,0,1.94541861301149,95.91988494829,0,0
"58.7",2.13304350132716,0,0,1.92770606095177,95.9392504377211,0,0
"58.8",2.13140687655527,0,0,1.91015352056491,95.9584396028798,0,0
"58.9",2.12978639307951,0,0,1.89275957015625,95.9774540367643,0,0
"59",2.12818188158192,0,0,1.87552280020167,95.9962953182165,0,0
"59.1",2.12659317470367,0,0,1.85844181325274,96.0149650120436,0,0
"59.2",2.12502010701921,0,0,1.84151522384222,96.0334646691386,0,0
"59.3",2.12346251501076,0,0,1.82474165839029,96.051795826599,0,0
"59.4",2.12192023704322,0,0,1.80811975511117,96.0699600078457,0,0
"59.5",2.12039311333945,0,0,1.7916481639204,96.0879587227402,0,0
"59.6",2.11888098595595,0,0,1.77532554634263,96.1057934677014,0,0
"59.7",2.11738369875886,0,0,1.75915057541992,96.1234657258212,0,0
"59.8",2.11590109740039,0,0,1.74312193562068,96.140976966979,0,0
"59.9",2.11443302929552,0,0,1.72723832274905,96.1583286479555,0,0
"60",2.11297934359914,0,0,1.71149844385495,96.1755222125459,0,0
"60.1",2.11153989118349,0,0,1.69590101714463,96.1925590916719,0,0
"60.2",2.1101145246159,0,0,1.6804447718917,96.2094407034924,0,0
"60.3",2.10870309813694,0,0,1.66512844834888,96.2261684535142,0,0
"60.4",2.10730546763887,0,0,1.64995079766014,96.242743734701,0,0
"60.5",2.10592149064435,0,0,1.63491058177349,96.2591679275822,0,0
"60.6",2.10455102628557,0,0,1.62000657335429,96.2754424003601,0,0
"60.7",2.1031939352836,0,0,1.60523755569915,96.2915685090173,0,0
"60.8",2.10185007992809,0,0,1.5906023226503,96.3075475974216,0,0
"60.9",2.10051932405727,0,0,1.57609967851062,96.3233809974321,0,0
